0553102222:-0.052178364 0.24421537 0.19413243 -0.055657387 -0.21812375 0.17026716 -0.18158527 -0.19635163 -0.060878444 0.4499492
9727591965:-0.51730484 0.24839237 -0.2370213 0.07670257 -0.06781543 0.043560203 -0.32596144 0.40896425 -0.35921925 -0.0053329803
0486401294:-0.26504025 0.18759742 -0.08074628 0.33498162 -0.05456144 0.03995242 -0.17164314 -0.36763388 -0.16443537 -0.06122155
0770429033:0.64289784 -0.36490384 0.09076705 -0.01819743 -0.36466867 -0.19658168 0.05706924 -0.27430502 0.45160735 -0.051877506
0060652934:-0.3519529 0.09973493 0.253129 0.25015664 0.20836543 -0.0737953 0.49813014 0.1760527 -0.11149337 0.11524261
0425184943:-0.47489518 -0.2877517 -0.36915275 0.7657247 -0.08152356 -0.8392382 0.08355997 -0.33825144 0.12556323 -0.18416718
0345318854:-0.57153606 0.24388935 0.89270675 -0.09586535 0.84991956 -0.02620897 0.48910904 0.1894746 -0.7604544 -0.0829809
0451166892:0.3274602 -0.13801444 0.09804919 0.27593386 -0.22198866 0.4598511 0.20119539 -0.041029338 0.26305357 0.24814431
0743456173:-0.58933604 0.09593754 0.6331506 -0.23078741 -0.06286774 0.082958594 -0.36176157 0.33074996 0.3284043 0.9121588
1573225320:0.11494402 -0.12485764 -0.022930896 0.115471184 -0.3330461 -0.07122114 -0.014053014 0.27276596 0.09241392 -0.18664715
0515132020:0.130272 0.6953956 0.2680754 0.99507844 0.1764141 0.21647206 -0.45564488 0.20535296 0.48509207 1.9139863
0671744208:-0.59572047 0.33290502 1.5535561 -0.2804397 -0.22626522 0.45430413 -0.917102 0.09080066 -0.14047962 1.5152051
0375708278:-0.11961164 -0.2250819 -0.00022389191 -0.031535838 -0.043514803 -0.23896386 -0.08493234 0.071128264 -0.413906 -0.27167925
044040665X:-0.20920211 0.1773811 0.8382319 -0.472012 -0.6462294 0.15351015 0.076175675 0.0185393 0.3718511 0.183295
0446615145:0.40864 -0.41016668 0.56393397 0.15162528 0.13982223 0.13712144 -0.23453103 -0.18903008 0.44313008 -0.12807417
0811832414:-0.6186314 0.14171614 -0.10831839 0.3100969 -0.44240943 0.0077793347 -0.007943378 0.062907666 -0.08562574 0.0042385985
0316037370:0.057914857 -0.23994768 -0.051757 0.11263121 -0.21822622 -0.00825046 0.3625996 -0.3107229 -0.051714353 0.09124292
1566191432:-0.22452994 0.06585925 -0.1301975 0.12450759 -0.18258741 -0.31554866 0.15106036 0.09968517 -0.25435406 -0.0027437198
0312198647:-0.2676344 -0.2140753 -0.18990774 0.03930734 -0.07501962 -0.2015213 0.36788574 0.0019404546 -0.0324787 -0.03857795
0140041796:-0.1810037 -0.20768201 0.122772925 -0.4915449 -0.2912988 0.29106912 0.45909145 0.4712781 -0.35981312 0.019000296
0552134619:0.29331607 -0.7172407 0.4275902 -0.0051385 -0.35299516 1.130634 0.6918967 -0.02268659 -1.2089255 0.10224517
0449217205:0.21483636 -0.080669664 0.22942212 0.37615666 -0.08296796 0.24480638 0.11935267 -0.16791284 0.4414786 0.25089607
0440486599:0.10297563 0.12274472 0.054838076 0.23879707 0.2429615 0.17539302 -0.044815533 -0.1957337 0.4204226 -0.28741646
0879516283:-0.054460406 0.099975266 -0.12969227 -0.01662408 -0.043771423 0.034812737 0.020046907 -0.15008412 -0.044671796 -0.21998534
0553561359:0.014039079 0.22520524 0.61693525 0.1968057 -0.28776872 0.07583769 -0.29718015 0.16170166 0.40800124 0.29709762
2070744833:-0.5649244 -0.53717184 0.008599716 -0.2997938 -0.6338652 0.47972882 0.069939055 0.7140486 -0.1202605 0.35401702
0836270061:0.018734172 0.09412187 -0.16620854 0.37106046 -0.071028635 -0.22015454 0.010998735 -0.015706712 0.39080358 0.29714537
0304357278:-0.10943689 0.09982121 -0.02576613 0.11611945 -0.20134231 -0.08830306 0.49019954 -0.116541766 0.010858534 -0.06992158
0312979584:-0.10967484 -0.3410689 -0.004243681 0.2967435 0.46784398 -0.33744955 0.2315033 0.50684303 0.2863983 -0.080604844
0760700435:-0.03571924 -0.051896114 0.04871382 0.2828609 -0.012791761 -0.4470151 0.07628679 -0.009815009 -0.1897709 0.24481417
0440218039:-0.7026039 0.50095975 0.31797603 0.12438036 -0.27654418 -0.06462893 0.1946868 0.14250435 0.24126084 0.15235592
0451153553:0.96461457 0.88018155 0.022965457 0.7675689 -0.24868402 0.711079 0.17332609 -0.15471809 0.19217446 -0.36149302
